SKU,Category,Stockout_Score,Overstock_Score,Risk_Status
SKU001,Furniture,0.22427736791843308,0.9258955304855683,Healthy
SKU002,Home Decor,0.21722447382287277,0.8379696031072744,Healthy
SKU003,Kitchen,0.2855258638575258,0.999706136430862,Healthy
SKU004,Lighting,0.23714665144828295,0.9535276916485381,Healthy
SKU005,Storage,0.2919097890044432,0.4530526527378569,Healthy
SKU006,Furniture,0.23462545006297306,1.0026447721222407,Overstock Risk
SKU007,Home Decor,0.42411272491435403,0.13504285568130323,Healthy
SKU008,Kitchen,0.27976470666822983,0.3242546019136639,Healthy
SKU009,Lighting,0.7627969854194023,0.1230665605140229,Healthy
SKU010,Storage,1.3338644675527696,0.08786445804271566,Stockout Risk
SKU011,Furniture,0.18316996630718335,3.9966296120999005,Overstock Risk
SKU012,Home Decor,2.585320942063935,0.03177491683546649,Stockout Risk
SKU013,Kitchen,0.31892942306946515,0.18291176245717872,Healthy
SKU014,Lighting,0.49987884110240394,0.23678082516200719,Healthy
SKU015,Storage,0.35144682837105057,0.7359005851091951,Healthy
SKU016,Furniture,0.36137008294346956,0.31530466691854253,Healthy
SKU017,Home Decor,2.1644067503359996,0.10871140151156919,Stockout Risk
SKU018,Kitchen,0.7287622898457682,0.15743078483819067,Healthy
SKU019,Lighting,0.6519500193109351,0.2383810079581345,Healthy
SKU020,Storage,0.12157713783436995,1.189312346938805,Overstock Risk
SKU021,Furniture,0.5183910448319543,0.19312279815138683,Healthy
SKU022,Home Decor,0.5043236515784258,0.15651795177083153,Healthy
SKU023,Kitchen,0.9086395105051953,0.15420172260533713,Healthy
SKU024,Lighting,0.6266443252378254,0.428319202384563,Healthy
SKU025,Storage,0.1345526482272467,6.058059163644436,Overstock Risk
SKU026,Furniture,0.5351511544116807,0.1274795004673837,Healthy
SKU027,Home Decor,0.21945241352030936,0.3763085433083114,Healthy
SKU028,Kitchen,0.7436189524797623,0.498225751471958,Healthy
SKU029,Lighting,0.3337739633673672,0.2905362372963778,Healthy
SKU030,Storage,0.4133555481295997,0.5500971349235498,Healthy
SKU031,Furniture,1.721493374056872,0.08928703300116732,Stockout Risk
SKU032,Home Decor,0.3058860304499393,0.4880702175589514,Healthy
SKU033,Kitchen,0.6997552124957542,0.1768508232589534,Healthy
SKU034,Lighting,0.9162933272590166,0.027388879188846735,Healthy
SKU035,Storage,0.3786069440197024,0.5408812146929165,Healthy
SKU036,Furniture,0.17302994290423307,1.2778704307296271,Overstock Risk
SKU037,Home Decor,0.4739024088437757,0.23648275208690137,Healthy
SKU038,Kitchen,0.3192872110106661,0.29778549993831455,Healthy
SKU039,Lighting,0.19687269973391702,0.4936076413350475,Healthy
SKU040,Storage,1.5281109519184237,0.07980370802905208,Stockout Risk
SKU041,Furniture,0.2442059061991778,0.6362981979676975,Healthy
SKU042,Home Decor,0.7631746930917884,0.06843808357422346,Healthy
SKU043,Kitchen,0.4874153021334857,0.4238820861341731,Healthy
SKU044,Lighting,0.3534970099964236,0.4385126004947455,Healthy
SKU045,Storage,0.3876208428526144,0.20628864809546157,Healthy
SKU046,Furniture,0.2514780323414985,0.22717640405288034,Healthy
SKU047,Home Decor,0.4833537201740165,0.2326007816246987,Healthy
SKU048,Kitchen,0.2796632945964057,0.21303144151022296,Healthy
SKU049,Lighting,0.23331268052982732,0.509315439414763,Healthy
SKU050,Storage,0.16670338500065726,0.9284969989616154,Healthy
